dTime,id,energy_power
20210516-05:00,1001,5.7637018265462165
20210516-05:00,1002,14.413100221636364
20210516-05:00,1003,-8.190501728396784
20210516-05:00,2000,0.0
20210516-05:00,2001,0.6423728412902066
20210516-06:00,1001,6.165578137513594
20210516-06:00,1002,14.083092147896105
20210516-06:00,1003,-8.80896415460806
20210516-06:00,2000,0.0
20210516-06:00,2001,0.6423728412902066
20210516-07:00,1001,6.73282593020167
20210516-07:00,1002,13.430070318389609
20210516-07:00,1003,-10.063352536073143
20210516-07:00,2000,0.0
20210516-07:00,2001,0.6423728412902066
20210516-08:00,1001,6.75766307933459
20210516-08:00,1002,12.87107373563636
20210516-08:00,1003,-10.45601566559126
20210516-08:00,2000,0.0
20210516-08:00,2001,0.6423728412902066
20210516-09:00,1001,6.886285674585895
